orgName,orgMetric,metric,deviceId,desc,product,productCode,descAll,type,high,hDesc,low,lDesc,unit,wr,alarm
楼顶热泵机组阀门,SYS_AshpSupBvRdy,AshpSupBvRdy,SYS,机组供能阀门切换到位,楼顶热泵机组阀门,P0005_,机组供能阀门切换到位,数字量,1,到位,0,,,只读,
,SYS_AshpSupEn,AshpSupEn,SYS,机组供能使能（使用楼顶机组供水）,楼顶热泵机组阀门,P0005_,机组供能使能（使用楼顶机组供水）,数字量,1,使用机组,0,,,读写,
园区供水机组阀门,SYS_ZoneSupBvRdy,ZoneSupBvRdy,SYS,园区供能阀门切换到位,园区供水机组阀门,P0006_,园区供能阀门切换到位,数字量,1,到位,0,未到位,,只读,
,SYS_ZoneSupEn,ZoneSupEn,SYS,园区供能使能（使用园区供水）,园区供水机组阀门,P0006_,园区供能使能（使用园区供水）,数字量,1,使用园区,0,,,读写,
地下北侧空调回水管电动蝶阀（园区供水）,SYS_BAcwrBvACtl,ACtl,SYS_BAcwrBv,自动启停,电动蝶阀,P0007_,北侧空调回水管电动蝶阀自动启停,数字量,1,启动,0,停止,,读写（不建议修改）,
,SYS_BAcwrBvHAs,HAs,SYS_BAcwrBv,手动/自动,电动蝶阀,P0007_,北侧空调回水管电动蝶阀手动/自动,数字量,1,自动,0,手动,,读写,
,SYS_BAcwrBvMCtl,MCtl,SYS_BAcwrBv,手动启停,电动蝶阀,P0007_,北侧空调回水管电动蝶阀手动启停,数字量,1,启动,0,停止,,读写,
,SYS_BAcwrBvCl,Cl,SYS_BAcwrBv,阀关,电动蝶阀,P0007_,地下北侧空调水回水管电动蝶阀关,数字量,1,关闭,0,,,读写（不建议修改）,
,SYS_BAcwrBvCs,Cs,SYS_BAcwrBv,关到位,电动蝶阀,P0007_,地下北侧空调水回水管电动蝶阀关到位,数字量,1,关到位,0,未到位,,只读,
,SYS_BAcwrBvOp,Op,SYS_BAcwrBv,开,电动蝶阀,P0007_,地下北侧空调水回水管电动蝶阀开,数字量,1,开启,0,,,读写（不建议修改）,
,SYS_BAcwrBvOs,Os,SYS_BAcwrBv,开到位,电动蝶阀,P0007_,地下北侧空调水回水管电动蝶阀开到位,数字量,1,开到位,0,未到位,,只读,
地下北侧空调供水管电动蝶阀（园区供水）,SYS_BAcwsBvACtl,ACtl,SYS_BAcwsBv,自动启停,电动蝶阀,P0007_,北侧空调供水管电动蝶阀自动启停,数字量,1,启动,0,停止,,读写（不建议修改）,
,SYS_BAcwsBvHAs,HAs,SYS_BAcwsBv,手动/自动,电动蝶阀,P0007_,北侧空调供水管电动蝶阀手动/自动,数字量,1,自动,0,手动,,读写,
,SYS_BAcwsBvMCtl,MCtl,SYS_BAcwsBv,手动启停,电动蝶阀,P0007_,北侧空调供水管电动蝶阀手动启停,数字量,1,启动,0,停止,,读写,
,SYS_BAcwsBvCl,Cl,SYS_BAcwsBv,阀关,电动蝶阀,P0007_,地下北侧空调水供水管电动蝶阀关,数字量,1,关闭,0,,,读写（不建议修改）,
,SYS_BAcwsBvCs,Cs,SYS_BAcwsBv,关到位,电动蝶阀,P0007_,地下北侧空调水供水管电动蝶阀关到位,数字量,1,关到位,0,未到位,,只读,
,SYS_BAcwsBvOp,Op,SYS_BAcwsBv,开,电动蝶阀,P0007_,地下北侧空调水供水管电动蝶阀开,数字量,1,开启,0,,,读写（不建议修改）,
,SYS_BAcwsBvOs,Os,SYS_BAcwsBv,开到位,电动蝶阀,P0007_,地下北侧空调水供水管电动蝶阀开到位,数字量,1,开到位,0,未到位,,只读,
地下南侧空调回水管电动蝶阀（园区供水）,SYS_NAcwrBvACtl,ACtl,SYS_NAcwrBv,自动启停,电动蝶阀,P0007_,南侧空调回水管电动蝶阀自动启停,数字量,1,启动,0,停止,,读写（不建议修改）,
,SYS_NAcwrBvHAs,HAs,SYS_NAcwrBv,手动/自动,电动蝶阀,P0007_,南侧空调回水管电动蝶阀手动/自动,数字量,1,自动,0,手动,,读写,
,SYS_NAcwrBvMCtl,MCtl,SYS_NAcwrBv,手动启停,电动蝶阀,P0007_,南侧空调回水管电动蝶阀手动启停,数字量,1,启动,0,停止,,读写,
,SYS_NAcwrBvCl,Cl,SYS_NAcwrBv,阀关,电动蝶阀,P0007_,地下南侧空调回水总管电动蝶阀关,数字量,1,关闭,0,,,读写（不建议修改）,
,SYS_NAcwrBvCs,Cs,SYS_NAcwrBv,关到位,电动蝶阀,P0007_,地下南侧空调回水总管电动蝶阀关到位,数字量,1,关到位,0,未到位,,只读,
,SYS_NAcwrBvOp,Op,SYS_NAcwrBv,开,电动蝶阀,P0007_,地下南侧空调回水总管电动蝶阀开,数字量,1,开启,0,,,读写（不建议修改）,
,SYS_NAcwrBvOs,Os,SYS_NAcwrBv,开到位,电动蝶阀,P0007_,地下南侧空调回水总管电动蝶阀开到位,数字量,1,开到位,0,未到位,,只读,
地下南侧空调供水管电动蝶阀（园区供水）,SYS_NAcwsBvACtl,ACtl,SYS_NAcwsBv,自动启停,电动蝶阀,P0007_,南侧空调供水管电动蝶阀自动/启停,数字量,1,启动,0,停止,,读写（不建议修改）,
,SYS_NAcwsBvHAs,HAs,SYS_NAcwsBv,手动/自动,电动蝶阀,P0007_,南侧空调供水管电动蝶阀手动/自动,数字量,1,自动,0,手动,,读写,
,SYS_NAcwsBvMCtl,MCtl,SYS_NAcwsBv,手动启停,电动蝶阀,P0007_,南侧空调供水管电动蝶阀手动启停,数字量,1,启动,0,停止,,读写,
,SYS_NAcwsBvCl,Cl,SYS_NAcwsBv,阀关,电动蝶阀,P0007_,地下南侧空调供水总管电动蝶阀关,数字量,1,关闭,0,,,读写（不建议修改）,
,SYS_NAcwsBvCs,Cs,SYS_NAcwsBv,关到位,电动蝶阀,P0007_,地下南侧空调供水总管电动蝶阀关到位,数字量,1,关到位,0,未到位,,只读,
,SYS_NAcwsBvOp,Op,SYS_NAcwsBv,开,电动蝶阀,P0007_,地下南侧空调供水总管电动蝶阀开,数字量,1,开启,0,,,读写（不建议修改）,
,SYS_NAcwsBvOs,Os,SYS_NAcwsBv,开到位,电动蝶阀,P0007_,地下南侧空调供水总管电动蝶阀开到位,数字量,1,开到位,0,未到位,,只读,
楼顶北侧空调供水管电动蝶阀（热泵机组供水）,SYS_AcwsBvHAs,HAs,SYS_AcwsBv,手动/自动,电动蝶阀,P0007_,空调供水总管电动蝶阀手动/自动,数字量,1,自动,0,手动,,读写,
,SYS_AcwsBvMCtl,MCtl,SYS_AcwsBv,手动启停,电动蝶阀,P0007_,空调供水总管电动蝶阀手动启停,数字量,1,启动,0,停止,,读写,
,SYS_AcwsBvACtl,ACtl,SYS_AcwsBv,自动启停,电动蝶阀,P0007_,空调供水总管电动蝶阀自动启停,数字量,1,启动,0,停止,,读写（不建议修改）,
,SYS_AcwsBvCl,Cl,SYS_AcwsBv,阀关,电动蝶阀,P0007_,空调供水管电动蝶阀关控制-南,数字量,1,关闭,0,,,读写（不建议修改）,
,SYS_AcwsBvOp,Op,SYS_AcwsBv,开,电动蝶阀,P0007_,空调供水管电动蝶阀开控制-南,数字量,1,开启,0,,,读写（不建议修改）,
,SYS_AcwsBvCs,Cs,SYS_AcwsBv,关到位,电动蝶阀,P0007_,空调供水管电动蝶阀关到位,数字量,1,关到位,0,未到位,,只读,
,SYS_AcwsBvOs,Os,SYS_AcwsBv,开到位,电动蝶阀,P0007_,"空调供水管电动蝶阀开到位",数字量,1,开到位,0,未到位,,只读,
楼顶北侧空调回水管电动蝶阀（热泵机组供水）,SYS_AcwrBvHAs,HAs,SYS_AcwrBv,手动/自动,电动蝶阀,P0007_,空调回水总管电动蝶阀手动/自动,数字量,1,自动,0,手动,,读写,
,SYS_AcwrBvMCtl,MCtl,SYS_AcwrBv,手动启停,电动蝶阀,P0007_,空调回水总管电动蝶阀手动启停,数字量,1,启动,0,停止,,读写,
,SYS_AcwrBvACtl,ACtl,SYS_AcwrBv,自动启停,电动蝶阀,P0007_,空调回水总管电动蝶阀自动启停,数字量,1,启动,0,停止,,读写（不建议修改）,
,SYS_AcwrBvCs,Cs,SYS_AcwrBv,关到位,电动蝶阀,P0007_,空调回水管电动蝶阀关到位,数字量,1,关闭,0,,,读写（不建议修改）,
,SYS_AcwrBvOs,Os,SYS_AcwrBv,开到位,电动蝶阀,P0007_,空调回水管电动蝶阀开到位,数字量,1,开启,0,,,读写（不建议修改）,
,SYS_AcwrBvCl,Cl,SYS_AcwrBv,阀关,电动蝶阀,P0007_,空调回水管电动蝶阀关控制-南,数字量,1,关到位,0,未到位,,只读,
,SYS_AcwrBvOp,Op,SYS_AcwrBv,开,电动蝶阀,P0007_,空调回水管电动蝶阀开控制-南,数字量,1,开到位,0,未到位,,只读,
楼顶南侧空调供水管电动蝶阀（热泵机组供水）,SYS_AshpWsBvHAs,HAs,SYS_AshpWsBv,手动/自动,电动蝶阀,P0007_,热泵供水总管电动蝶阀手动/自动,数字量,1,自动,0,手动,,读写,
,SYS_AshpWsBvMCtl,MCtl,SYS_AshpWsBv,手动启停,电动蝶阀,P0007_,热泵供水总管电动蝶阀手动启停,数字量,1,启动,0,停止,,读写,
,SYS_AshpWsBvACtl,ACtl,SYS_AshpWsBv,自动启停,电动蝶阀,P0007_,热泵供水总管电动蝶阀自动启停,数字量,1,启动,0,停止,,读写（不建议修改）,
,SYS_AshpWsBvCl,Cl,SYS_AshpWsBv,阀关,电动蝶阀,P0007_,热泵供水总管电动蝶阀关控制-北,数字量,1,关闭,0,,,读写（不建议修改）,
,SYS_AshpWsBvOp,Op,SYS_AshpWsBv,开,电动蝶阀,P0007_,热泵供水总管电动蝶阀开控制-北,数字量,1,开启,0,,,读写（不建议修改）,
,SYS_AshpWsBvCs,Cs,SYS_AshpWsBv,关到位,电动蝶阀,P0007_,热泵供水总管电动蝶阀关到位,数字量,1,关到位,0,未到位,,只读,
,SYS_AshpWsBvOs,Os,SYS_AshpWsBv,开到位,电动蝶阀,P0007_,热泵供水总管电动蝶阀开到位,数字量,1,开到位,0,未到位,,只读,
楼顶南侧空调回水管电动蝶阀（热泵机组供水）,SYS_AshpWrBvHAs,HAs,SYS_AshpWrBv,手动/自动,电动蝶阀,P0007_,热泵回水总管电动蝶阀手动/自动,数字量,1,自动,0,手动,,读写,
,SYS_AshpWrBvMCtl,MCtl,SYS_AshpWrBv,手动启停,电动蝶阀,P0007_,热泵回水总管电动蝶阀手动启停,数字量,1,启动,0,停止,,读写,
,SYS_AshpWrBvACtl,ACtl,SYS_AshpWrBv,自动启停,电动蝶阀,P0007_,热泵回水总管电动蝶阀自动启停,数字量,1,启动,0,停止,,读写（不建议修改）,
,SYS_AshpWrBvCl,Cl,SYS_AshpWrBv,阀关,电动蝶阀,P0007_,热泵回水总管电动蝶阀关控制-北,数字量,1,关闭,0,,,读写（不建议修改）,
,SYS_AshpWrBvOp,Op,SYS_AshpWrBv,开,电动蝶阀,P0007_,热泵回水总管电动蝶阀开控制-北,数字量,1,开启,0,,,读写（不建议修改）,
,SYS_AshpWrBvCs,Cs,SYS_AshpWrBv,关到位,电动蝶阀,P0007_,热泵回水总管电动蝶阀关到位,数字量,1,关到位,0,未到位,,只读,
,SYS_AshpWrBvOs,Os,SYS_AshpWrBv,开到位,电动蝶阀,P0007_,热泵回水总管电动蝶阀开到位,数字量,1,开到位,0,未到位,,只读,
室外温湿度,SYS_OutdHm,OutdHm,SYS,冷热源站室外湿度,室外温湿度,P0008_,冷热源站室外湿度,模拟量,100,,0,,,只读,
,SYS_OutdTm,OutdTm,SYS,冷热源站室外温度,室外温湿度,P0008_,冷热源站室外温度,模拟量,60,,-20,,,只读,
楼顶热泵机组水泵总参数设置,ACWP_AutC,AutC,ACWP,空调水泵组自动启停命令,楼顶热泵机组水泵总参数设置,P0009_,空调水泵组自动启停命令,数字量,1,启动,0,停止,,读写（不建议修改）,
,ACWP_FaultRset,FaultRset,ACWP,空调水泵变频故障复位,楼顶热泵机组水泵总参数设置,P0009_,空调水泵变频故障复位,数字量,1,复位,0,无,,读写,
,ACWP_StartDelayTime,StartDelayTime,ACWP,空调水泵开机延时时间,楼顶热泵机组水泵总参数设置,P0009_,空调水泵开机延时时间,模拟量,1000,,0,,,读写,
,ACWP_StopDelayTime,StopDelayTime,ACWP,空调水泵停机延时时间,楼顶热泵机组水泵总参数设置,P0009_,空调水泵停机延时时间,模拟量,1000,,0,,,读写,
,ACWP_TimeChgRdy,TimeChgRdy,ACWP,空调水泵组轮换准备好,楼顶热泵机组水泵总参数设置,P0009_,空调水泵组轮换准备好,数字量,1,,0,,,只读,
,ACWP_TimeChgSp,TimeChgSp,ACWP,空调水泵组时间轮换设定值,楼顶热泵机组水泵总参数设置,P0009_,空调水泵组时间轮换设定值,模拟量,50,,40,,h,读写,
,ACWP_VfHzAutSpEn,VfHzAutSpEn,ACWP,空调水泵变频频率设定自动设定使能,楼顶热泵机组水泵总参数设置,P0009_,空调水泵变频频率设定自动设定使能,数字量,1,,0,,,读写,
,ACWP_VfHzMaxSp,VfHzMaxSp,ACWP,空调水泵变频最高频率设定值,楼顶热泵机组水泵总参数设置,P0009_,空调水泵变频最高频率设定值,模拟量,50,,0,,Hz,读写,
,ACWP_VfHzMinSp,VfHzMinSp,ACWP,空调水泵变频最低频率设定值,楼顶热泵机组水泵总参数设置,P0009_,空调水泵变频最低频率设定值,模拟量,50,,0,,Hz,读写,
,ACWP_VfHzSp,VfHzSp,ACWP,空调水泵变频频率设定值,楼顶热泵机组水泵总参数设置,P0009_,空调水泵变频频率设定值,模拟量,50,,0,,Hz,读写,
,ACWP_VfPidKP,VfPidKP,ACWP,空调水泵变频比例增益,楼顶热泵机组水泵总参数设置,P0009_,空调水泵变频比例增益,模拟量,50,,0,,,读写（不建议修改）,
,ACWP_VfPidTI,VfPidTI,ACWP,空调水泵变频积分时间,楼顶热泵机组水泵总参数设置,P0009_,空调水泵变频积分时间,模拟量,1000,,0,,,读写（不建议修改）,
楼顶热泵机组1#水泵,ACWP1_ACtl,ACtl,ACWP1,自动启停,热泵机组水泵,P0010_,1#空调水泵变频自动启停,数字量,1,启动,0,停止,,读写（不建议修改）,
,ACWP1_HAs,HAs,ACWP1,手动/自动,热泵机组水泵,P0010_,1#空调水泵变频手动/自动,数字量,1,自动,0,手动,,读写,
,ACWP1_MCtl,MCtl,ACWP1,手动启停,热泵机组水泵,P0010_,1#空调水泵变频手动启停,数字量,1,启动,0,停止 ,,读写,
,ACWP1_RunTime,RunTime,ACWP1,空调水泵当次计运行时间,热泵机组水泵,P0010_,1#空调水泵当次计运行时间,模拟量,1000,,0,,,只读,
,ACWP1_StOutTimeF,StOutTimeF,ACWP1,空调水泵变频启动超时故障,热泵机组水泵,P0010_,1#空调水泵变频启动超时故障,数字量,1,,0,,,只读,值为1时报警
,ACWP1_TimeRset,TimeRset,ACWP1,空调水泵变频运行时间复位,热泵机组水泵,P0010_,1#空调水泵变频运行时间复位,数字量,1,,0,,,读写,
,ACWP1_TtlRunTime,TtlRunTime,ACWP1,空调水泵累计运行时间,热泵机组水泵,P0010_,1#空调水泵累计运行时间,模拟量,1000,,0,,,只读,
,ACWP1_VfCtl,VfCtl,ACWP1,空调水循环泵变频运行准备控制字1142,热泵机组水泵,P0010_,空调水循环泵变频运行准备控制字1142,数字量,1,远程,0,就地,,读写（不建议修改）,
,ACWP1_VfF,VfF,ACWP1,空调水循环泵变频故障报警,热泵机组水泵,P0010_,空调水循环泵变频故障报警,数字量,1,报警,0,,,只读,值为1时报警
,ACWP1_VfHzCtl,VfHzCtl,ACWP1,空调水循环泵变频频率调节,热泵机组水泵,P0010_,空调水循环泵变频频率调节,数字量,1,报警,0,,,读写（不建议修改）,
,ACWP1_VfHzS,VfHzS,ACWP1,空调水循环泵变频频率反馈,热泵机组水泵,P0010_,空调水循环泵变频频率反馈,数字量,1,运行,0,停止,,只读,
,ACWP1_VfLRs,VfLRs,ACWP1,空调水循环泵变频远程/就地状态,热泵机组水泵,P0010_,空调水循环泵变频远程/就地状态,数字量,1,远程,0,就地,,只读,
,ACWP1_VfS,VfS,ACWP1,空调水循环泵变频运行状态,热泵机组水泵,P0010_,空调水循环泵变频运行状态,数字量,1,运行,0,停止,,只读,
楼顶热泵机组2#水泵,ACWP2_ACtl,ACtl,ACWP2,自动启停,热泵机组水泵,P0010_,2#空调水泵变频自动启停,数字量,1,启动,0,停止,,读写（不建议修改）,
,ACWP2_HAs,HAs,ACWP2,手动/自动,热泵机组水泵,P0010_,2#空调水泵变频手动/自动,数字量,1,自动,0,手动,,读写,
,ACWP2_MCtl,MCtl,ACWP2,手动启停,热泵机组水泵,P0010_,2#空调水泵变频手动启停,数字量,1,启动,0,停止 ,,读写,
,ACWP2_RunTime,RunTime,ACWP2,空调水泵当次计运行时间,热泵机组水泵,P0010_,2#空调水泵当次计运行时间,模拟量,1000,,0,,,只读,
,ACWP2_StOutTimeF,StOutTimeF,ACWP2,空调水泵变频启动超时故障,热泵机组水泵,P0010_,2#空调水泵变频启动超时故障,数字量,1,,0,,,只读,值为1时报警
,ACWP2_TimeRset,TimeRset,ACWP2,空调水泵变频运行时间复位,热泵机组水泵,P0010_,2#空调水泵变频运行时间复位,数字量,1,,0,,,读写,
,ACWP2_TtlRunTime,TtlRunTime,ACWP2,空调水泵累计运行时间,热泵机组水泵,P0010_,2#空调水泵累计运行时间,模拟量,1000,,0,,,只读,
,ACWP2_VfCtl,VfCtl,ACWP2,空调水循环泵变频运行准备控制字1142,热泵机组水泵,P0010_,空调水循环泵变频运行准备控制字1142,数字量,1,远程,0,就地,,读写（不建议修改）,
,ACWP2_VfF,VfF,ACWP2,空调水循环泵变频故障报警,热泵机组水泵,P0010_,空调水循环泵变频故障报警,数字量,1,报警,0,,,只读,值为1时报警
,ACWP2_VfHzCtl,VfHzCtl,ACWP2,空调水循环泵变频频率调节,热泵机组水泵,P0010_,空调水循环泵变频频率调节,模拟量,50,报警,0,,,读写（不建议修改）,
,ACWP2_VfHzS,VfHzS,ACWP2,空调水循环泵变频频率反馈,热泵机组水泵,P0010_,空调水循环泵变频频率反馈,模拟量,50,运行,0,停止,,只读,
,ACWP2_VfLRs,VfLRs,ACWP2,空调水循环泵变频远程/就地状态,热泵机组水泵,P0010_,空调水循环泵变频远程/就地状态,数字量,1,远程,0,就地,,只读,
,ACWP2_VfS,VfS,ACWP2,空调水循环泵变频运行状态,热泵机组水泵,P0010_,空调水循环泵变频运行状态,数字量,1,运行,0,停止,,只读,
地下北侧热量表,B_AcwFl,AcwFl,B,热量表瞬时流量,热量表,P0011_,地下北侧热量表瞬时流量,模拟量,100000,,0,,,只读,
,B_AcwQc,AcwQc,B,热量表瞬时冷量,热量表,P0011_,地下北侧热量表瞬时冷量,模拟量,100000,,0,,,只读,
,B_AcwrTm,AcwrTm,B,热量表回水温度,热量表,P0011_,地下北侧热量表回水温度,模拟量,100,,0,,,只读,
,B_AcwsTm,AcwsTm,B,热量表供水温度,热量表,P0011_,地下北侧热量表供水温度,模拟量,100,,0,,,只读,
,B_AcwTtlFl,AcwTtlFl,B,热量表累计流量,热量表,P0011_,地下北侧热量表累计流量,模拟量,100000,,0,,,只读,
,B_AcwTtlQc,AcwTtlQc,B,热量表累计冷量,热量表,P0011_,地下北侧热量表累计冷量,模拟量,100000,,0,,,只读,
,B_AcwTtlQh,AcwTtlQh,B,热量表累计热量,热量表,P0011_,地下北侧热量表累计热量,模拟量,100000,,0,,,只读,
地下南侧热量表,N_AcwFl,AcwFl,N,热量表瞬时流量,热量表,P0011_,地下南侧热量表瞬时流量,模拟量,100000,,0,,,只读,
,N_AcwQc,AcwQc,N,热量表瞬时冷量,热量表,P0011_,地下南侧热量表瞬时冷量,模拟量,100000,,0,,,只读,
,N_AcwrTm,AcwrTm,N,热量表回水温度,热量表,P0011_,地下南侧热量表回水温度,模拟量,100,,0,,,只读,
,N_AcwsTm,AcwsTm,N,热量表供水温度,热量表,P0011_,地下南侧热量表供水温度,模拟量,100,,0,,,只读,
,N_AcwTtlFl,AcwTtlFl,N,热量表累计流量,热量表,P0011_,地下南侧热量表累计流量,模拟量,100000,,0,,,只读,
,N_AcwTtlQc,AcwTtlQc,N,热量表累计冷量,热量表,P0011_,地下南侧热量表累计冷量,模拟量,100000,,0,,,只读,
,N_AcwTtlQh,AcwTtlQh,N,热量表累计热量,热量表,P0011_,地下南侧热量表累计热量,模拟量,100000,,0,,,只读,
楼顶机组热量表,EmAshp_AcwFl,AcwFl,EmAshp,热量表瞬时流量,热量表,P0011_,楼顶热量表瞬时流量,模拟量,1000,,0,,,只读,
,EmAshp_AcwFs,AcwFs,EmAshp,热量表流体速度,热量表,P0011_,楼顶热量表流体速度,模拟量,1000,,0,,,只读,
,EmAshp_AcwQc,AcwQc,EmAshp,热量表瞬时冷量,热量表,P0011_,楼顶热量表瞬时热流量,模拟量,1000,,0,,,只读,
,EmAshp_AcwrTm,AcwrTm,EmAshp,热量表回水温度,热量表,P0011_,楼顶热量表回水温度,模拟量,1000,,0,,,只读,
,EmAshp_AcwsTm,AcwsTm,EmAshp,热量表供水温度,热量表,P0011_,楼顶热量表供水温度,模拟量,1000,,0,,,只读,
,EmAshp_AcwTtlFl,AcwTtlFl,EmAshp,热量表累计流量,热量表,P0011_,楼顶热量表正累计流量,模拟量,100000,,0,,,只读,
,EmAshp_AcwTtlQh,AcwTtlQh,EmAshp,热量表累计热量,热量表,P0011_,楼顶热量表净累计热量,模拟量,100000,,0,,,只读,
格力机组1,G1P1_ACWrTm,ACWrTm,G1P1,空调进水温度,格力空调机组,P0012_,机组1热泵1空调进水温度,模拟量,70,,-20,,,只读,
